Dish,Content,,Tags,,belki,zhiry,uglevodi,kallorii,breakfast,lunch,dinner
"Свинина с помидорами,грибами и сыром в духовке","Svinina,Luk,Tomaty,Griby,Majonez,Syr,Sol',Specii,Maslo pods.","Svinina s pomidorami,gribami i syrom v duhovke",,"свинина,Лук,Томаты,Грибы,Майонез,Сыр,Соль,Специи,Масло подсолнечное ","8,4","12,4","1,9",153,,+,
Овощной салат с брынзой,"Tomaty,Ogurec,Syr,Shpinat,Salat,Petrushka,Sol',Maslo olivk.",Ovoshchnoj salat s brynzoj,,"Томаты,Огурец,Сыр,Шпинат,Салат,Петрушка,Соль,Масло оливк ","3,6","10,6","2,1","119,6",,+,+
Классический салат с крабовыми палочками и кукурузой,"Yajco,Krabovye Palochki,Kukuruza,Ogurec,Ris,Sol',Majonez",Klassicheskij salat s krabovymi palochkami i kukuruzoj,,"Яйцо,Крабовые Палочки,Кукуруза,Огурец,Рис,Соль,Майонез","4,1","6,4","7,3","105,1",,+,+
Картофельное пюре с грибами и луком,"Kartofel',Griby,Luk,Maslo pods.,Sol',Petrushka",Kartofel'noe pyure s gribami i lukom,,"Картофель,Грибы,Лук,Масло подсолнечное,Соль,Петрушка","2,2","1,6","12,6","73,9",,+,
Гречневый суп с говядиной,"Govyadina,Morkov',Luk,Maslo pods.,Kartofel',Grechka,Sol'",Grechnevyj sup s govyadinoj,,"Говядина,Морковь,Лук,Масло подсолнечное,Картофель,Гречка,Соль","7,3","5,3","10,4","117,6",,+,
Свиные тефтели с кабачком на сковороде,"Svinina,Yajco,Sol',Ris,Kabachok,Maslo pods.,Luk,Tom.Pasta,Smetana,Lavrovyj list",Svinye tefteli s kabachkom na skovorode,,"свинина,Яйцо,Соль,Рис,Кабачок,Масло подсолнечное,Лук,Том Паста,Сметана,Лавровый Лист",7,"9,8","4,5","137,1",,+,+
Рисовая запеканка с тунцом и помидорами,"Ris,Tomaty,Syr,Yajco,Sol',Tunec",Risovaya zapekanka s tuncom i pomidorami,,"Рис,Томаты,Сыр,Яйцо,Соль,Тунец","8,3","3,9","5,9","94,2",,+,
Куриные ножки с грибами и майонезом,"Indeyka,Luk,Griby,Sol',Majonez",Kurinye nozhki s gribami i majonezom,,"Голень индейки,Лук,Грибы,Соль,Майонез","14,6","14,2","0,9",190,,+,+
Перловая каша с овощами,"Perlovka,Maslo pods.,Voda,Ukrop,Petrushka,Luk,Morkov'",Perlovaya kasha s ovoshchami,,"Крупа Перловая,Масло подсолнечное,Вода,Укроп,Петрушка,Лук,Морковь","3,1","4,1","20,6",132,+,"",+
"Салат из свеклы,моркови и чеснока ","Maslo,Morkov',Sol',Svekla,CHesnok","Salat iz svekly,morkovi i chesnoka",,"Масло,Морковь,Соль,Свекла,Чеснок","1,7","2,3","9,9",65,,+,+
