что,ингредиенты,сколько ?,сколько по факту нужно ,приблизительная цена,где купить ,"Белки, г","Жиры, г","Углеводы, г",каллорийность (100 г)
https://kalkulyator-kaloriy.ru/zharkoe-so-svininoy-v-kastryule/,Фарш из свинины п/ф свинина 100%,400 г,350 г,"135,6",Akademshop,,,,
,Картофель вес,500 Г,500 г,23,Akademshop,,,,
,Морковь вес,100 г,1 шт,"4,2",Akademshop,,,,
,Лук Репчатый вес,200 г,1 шт,"7,2",Akademshop,,,,
,Масло Аннинское подс.раф.дез.0.9 пл/б ,,20 мл,-,Akademshop,,,,
,Том.Паста Heinz 70г ж/б,70 г,"1,5 ст. л.",54,Akademshop,,,,
,Лавровый Лист Приправыч отборный 10г,10 г,3-4 шт,25,Akademshop,,,,
,Соль Усольская Экстра 1000г пак,,по вкусу,-,Akademshop,,,,
Морковь по-корейски рецепт в домашних условиях,,,,"106,7",,"1,2","5,2","10,8",93
https://kalkulyator-kaloriy.ru/morkov-po-koreyski-recept/,Морковь вес,500 г,500 г,21,Akademshop,,,,
,Сахар Русский песок 1000г пл/пак,,1 ст. л. ,-,Akademshop,,,,
,Соль Усольская Экстра 1000г пак,,"0,5 ч. л. ",-,Akademshop,,,,
,Чеснок вес,100 г,2 зубчика,"29,7",Akademshop,,,,
,Масло Слобода подс.оливк.1.0 пл/б,,3 ст. л.,-,Akademshop,,,,
,Уксус Абрико Яблочный 6% 0.5 пл/б,1 шт,1 ст. л.,56,Akademshop,,,,
Яичница с сосиской ,,,,"124,2",,"10,8","22,9","0,4",251
https://daily-menu.ru/dailymenu/recipes/view/21755,Сосиски Дымов Молочные иск.обол.,100 г,50 г,"47,2",Akademshop,,,,
,Яйцо Куриное 10шт отборное Яркое Утро,10 шт,1 шт ,77,Akademshop,,,,
,Соль Усольская Экстра 1000г пак,,по вкусу,-,Akademshop,,,,
,Масло Аннинское подс.раф.дез.0.9 пл/б ,,,-,Akademshop,,,,
Омлет из белков с овощами ,,,,"160,4",,"4,2","4,1","3,4",67
https://daily-menu.ru/dailymenu/recipes/view/205231,Фасоль Стручковая рез.св/м вес,100г,100 г,"13,3",Akademshop,,,,
,Яйцо Куриное 10шт отборное Яркое Утро,10 шт,2 шт ,77,Akademshop,,,,
,Томаты красные на ветке,100 г,90 г,"22,5",Akademshop,,,,
,Лук Репчатый вес,100 г,65 г,"3,6",Akademshop,,,,
,Масло Слобода подс.оливк.1.0 пл/б,,3 ст. л.,-,Akademshop,,,,
,Перец Трапеза Черный молотый 20г,20 г,по вкусу,44,Akademshop,,,,
Омлет с сыром и грибами,,,,"399,9",,"7,6","8,1","3,3",118
